Number,Date,Price,Amount,15DayAverage,31DayAverage,Trend,predictionValues
1,18/9/2015,67.402,788,0.0,0.0,22.25,0
2,19/9/2015,45.86,1011,22.93,15.286666666666667,24.611000000000004,0
3,20/9/2015,38.484,1003,25.656000000000002,19.242,25.998300000000008,0
4,21/9/2015,34.564,847,25.923000000000002,20.738400000000002,26.854870000000005,0
5,22/9/2015,32.998,728,26.3984,21.998666666666665,27.469183000000008,0
6,23/9/2015,31.15,787,25.958333333333332,22.25,27.837264700000006,0
7,24/9/2015,30.687,720,26.30314285714286,23.01525,28.122238230000004,0
8,25/9/2015,29.845,906,26.114375,23.212777777777777,28.294514407000005,0
9,26/9/2015,30.051,1013,30.3592,24.040799999999997,28.470162966300002,0
10,27/9/2015,27.419,1004,28.908933333333334,22.43372727272728,28.365046669670004,0
11,28/9/2015,25.408,1006,27.9264,21.173333333333336,28.069342002703007,0
12,29/9/2015,25.088,878,27.2048,21.228307692307688,27.771207802432706,0
13,30/9/2015,25.644,933,26.555866666666663,21.98057142857143,27.558487022189436,0
14,01/10/2015,26.033,870,25.979266666666664,22.561933333333343,27.405938319970492,0
15,02/10/2015,26.122,1053,25.487266666666667,22.85675000000001,27.277544487973444,0
16,03/10/2015,26.035,1029,25.040800000000004,22.97205882352942,27.1532900391761,0
17,04/10/2015,24.106,1058,24.529466666666668,25.958193548387094,26.84856103525849,0
18,05/10/2015,23.746,947,24.13046666666667,25.079516129032257,26.538304931732643,0
19,06/10/2015,23.74,835,23.8546,24.409935483870964,26.25847443855938,0
20,07/10/2015,23.264,787,23.565466666666666,23.85851612903226,25.95902699470344,0
21,08/10/2015,22.501,936,23.1938,23.379806451612907,25.613224295233096,0
22,09/10/2015,23.307,961,22.8316,22.964419354838718,25.382601865709788,0
23,10/10/2015,23.148,1055,22.479600000000005,22.547677419354848,25.159141679138813,0
24,11/10/2015,22.381,963,22.058800000000005,22.142483870967748,24.88132751122493,0
25,12/10/2015,21.434,909,21.68066666666667,21.726354838709675,24.53659476010244,0
26,13/10/2015,21.27,883,21.339,21.379322580645162,24.209935284092193,0
27,14/10/2015,20.751,892,20.93813333333333,21.12112903225806,23.864041755682972,0
28,15/10/2015,20.069,978,20.551866666666665,20.876548387096776,23.484537580114676,0
29,16/10/2015,20.6,1042,20.262333333333338,20.61390322580645,23.19608382210321,0
30,17/10/2015,20.842,1175,19.926733333333335,20.307258064516123,22.96067543989289,0
31,18/10/2015,19.723,1110,19.568066666666667,20.00970967741935,22.6369078959036,0
32,19/10/2015,18.434,1065,19.22826666666667,19.71958064516129,22.21661710631324,0
33,20/10/2015,18.621,1027,18.94273333333333,19.501548387096776,21.85705539568192,0
34,21/10/2015,17.727,1178,18.635466666666662,19.28248387096774,21.44404985611373,0
35,22/10/2015,17.47,963,18.41233333333333,19.06370967741936,21.046644870502355,0
36,23/10/2015,18.158,1325,18.241466666666668,18.863258064516128,20.75778038345212,0
37,24/10/2015,18.273,1371,18.03493333333334,18.66416129032258,20.509302345106907,0
38,25/10/2015,17.768,1241,17.747266666666672,18.423548387096773,20.235172110596217,0
39,26/10/2015,17.284,1067,17.558933333333336,18.16783870967742,19.940054899536598,0
40,27/10/2015,17.151,999,17.466066666666666,17.928225806451607,19.66114940958294,0
